date,event_type,actual_end_time,ot_minutes,ot_pay,total_pay
2026-01-03,Đêm nhạc,23:05,15,50000,650000
2026-01-02,Openmic,22:30,0,0,500000
2026-01-01,Đêm nhạc,23:10,15,50000,650000
2026-01-11,Openmic,22:30,0,0,500000
2026-01-13,Đêm nhạc,23:03,15,50000,650000
2026-01-14,Openmic,22:30,0,0,500000
2026-01-15,Openmic,22:30,0,0,500000
2026-01-16,Openmic,22:30,0,0,500000
2026-01-18,Openmic,22:30,0,0,500000
2026-01-20,Đêm nhạc,22:30,0,0,600000
2026-01-21,Đêm nhạc,23:05,15,50000,650000
2026-01-23,Openmic,22:30,0,0,500000
2026-01-24,Openmic,22:30,0,0,500000
2026-01-25,Đêm nhạc,22:30,0,0,600000
2026-01-28,Đêm nhạc,22:30,0,0,600000
2026-01-29,Đêm nhạc,22:30,0,0,600000
2026-01-30,Openmic,22:30,0,0,500000
2026-01-06,Đêm nhạc,22:59,0,0,600000
2026-01-31,Đêm nhạc,23:19,30,100000,700000
2026-02-03,Đêm nhạc,23:17,30,100000,700000
2026-02-05,Đêm nhạc,23:03,15,50000,650000
2026-02-07,Đêm nhạc,23:15,15,50000,650000
2026-02-10,Đêm nhạc,22:58,0,0,600000
2026-02-24,Đêm nhạc,22:50,0,0,600000
2026-02-25,Đêm nhạc,23:25,30,100000,700000
2026-03-01,Đêm nhạc,23:20,30,100000,700000
2026-03-05,Đêm nhạc,23:24,30,100000,700000
2026-03-10,Đêm nhạc,00:02,75,250000,850000
2026-03-12,Đêm nhạc,23:47,60,200000,800000
2026-03-13,Openmic,22:30,0,0,500000
2026-03-14,Đêm nhạc,23:08,15,50000,650000
2026-03-17,Đêm nhạc,23:34,45,150000,750000
2026-03-18,Đêm nhạc,23:36,45,150000,750000
2026-03-19,Openmic,22:30,0,0,500000
2026-03-20,Openmic,22:30,0,0,500000
2026-03-24,Openmic,22:30,0,0,500000
2026-03-26,Đêm nhạc,23:27,30,100000,700000
2026-03-28,Đêm nhạc,23:45,45,150000,750000
2026-03-31,Đêm nhạc,23:35,45,150000,750000
2026-04-02,Đêm nhạc,23:24,30,100000,700000
2026-04-03,Đêm nhạc,22:57,0,0,600000
2026-04-05,Openmic,22:30,0,0,500000
2026-04-04,Openmic,22:30,0,0,500000
2026-04-07,Đêm nhạc,23:55,60,200000,800000
2026-04-08,Đêm nhạc,22:58,0,0,600000
2026-04-09,Openmic,22:30,0,0,500000
2026-04-10,Đêm nhạc,23:43,45,150000,750000
2026-04-11,Openmic,22:30,0,0,500000
2026-04-14,Openmic,22:30,0,0,500000
